date,account_type,transaction_amount,category,department,budget,variance,transaction_id,vendor,approved_by
2024-01-01,Expense,14502.49,Training,Operations,14919.77,-417.28,TXN19627,Vendor_26,Manager_2
2024-01-01,Expense,10216.96,Training,HR,10713.1,-496.14,TXN40451,Vendor_37,Manager_4
2024-01-01,Expense,19385.82,Marketing,Operations,18195.81,1190.01,TXN48098,Vendor_34,Manager_7
2024-01-01,Revenue,368060.4,Equipment,Operations,294448.32,73612.08,TXN99276,Vendor_11,Manager_2
2024-01-01,Expense,10594.01,Equipment,Sales,11425.88,-831.87,TXN68122,Vendor_2,Manager_9
2024-01-01,Investment,64699.59,Professional Services,Engineering,64699.59,0.0,TXN11494,Vendor_22,Manager_6
2024-01-01,Revenue,433161.96,Training,HR,346529.56,86632.39,TXN47851,Vendor_27,Manager_5
2024-01-01,Investment,45412.37,Salaries,Operations,45412.37,0.0,TXN27189,Vendor_44,Manager_5
2024-01-01,Revenue,471545.66,Office Rent,Marketing,377236.53,94309.13,TXN90366,Vendor_13,Manager_3
2024-01-01,Expense,15673.24,Professional Services,Finance,14957.41,715.82,TXN12698,Vendor_29,Manager_5
2024-01-01,Expense,15041.77,Miscellaneous,Marketing,14930.38,111.39,TXN53787,Vendor_12,Manager_4
2024-01-01,Expense,2473.81,Travel,HR,2532.23,-58.42,TXN33968,Vendor_17,Manager_3
2024-01-01,Expense,16604.73,Office Rent,Engineering,17473.05,-868.33,TXN27057,Vendor_37,Manager_9
2024-01-01,Expense,122311.84,Salaries,Engineering,127902.53,-5590.69,TXN82232,Vendor_36,Manager_2
2024-01-01,Expense,1899.53,Miscellaneous,Marketing,1749.17,150.36,TXN12802,Vendor_47,Manager_9
2024-01-01,Investment,54206.49,Salaries,Sales,54206.49,0.0,TXN95234,Vendor_11,Manager_8
2024-01-01,Expense,8106.1,Professional Services,Engineering,8333.97,-227.87,TXN92485,Vendor_36,Manager_1
2024-01-01,Expense,7492.27,Travel,HR,6884.12,608.15,TXN19714,Vendor_19,Manager_5
2024-01-01,Expense,1799.25,Travel,Engineering,1669.28,129.97,TXN55600,Vendor_46,Manager_2
2024-01-01,Expense,8031.18,Utilities,Sales,8519.28,-488.1,TXN68081,Vendor_4,Manager_3
2024-01-01,Revenue,347757.96,Training,Marketing,278206.37,69551.59,TXN38568,Vendor_33,Manager_5
2024-01-01,Revenue,86383.41,Software/Tools,Operations,69106.73,17276.68,TXN21394,Vendor_5,Manager_8
2024-01-01,Investment,22793.9,Travel,Sales,22793.9,0.0,TXN62600,Vendor_39,Manager_8
2024-01-01,Revenue,163373.1,Miscellaneous,HR,130698.48,32674.62,TXN22093,Vendor_45,Manager_4
2024-01-01,Expense,9777.01,Training,Sales,9152.53,624.48,TXN56794,Vendor_11,Manager_3
2024-01-01,Expense,15126.5,Professional Services,Marketing,15416.67,-290.17,TXN62915,Vendor_45,Manager_2
2024-01-01,Expense,11322.81,Miscellaneous,Finance,12431.21,-1108.39,TXN44446,Vendor_33,Manager_7
2024-01-31,Expense,196698.69,Salaries,Engineering,214264.12,-17565.43,TXN25362,Vendor_44,Manager_3
2024-01-31,Investment,47670.9,Software/Tools,Sales,47670.9,0.0,TXN69126,Vendor_12,Manager_4
2024-01-31,Revenue,464309.8,Travel,Engineering,371447.84,92861.96,TXN70302,Vendor_47,Manager_8
2024-01-31,Expense,6314.21,Professional Services,Sales,6088.31,225.89,TXN78866,Vendor_4,Manager_2
2024-01-31,Revenue,445126.08,Marketing,Sales,356100.86,89025.22,TXN52722,Vendor_1,Manager_3
2024-01-31,Expense,3665.36,Utilities,Operations,3415.89,249.47,TXN49237,Vendor_11,Manager_1
2024-01-31,Expense,28344.42,Office Rent,Finance,28287.25,57.16,TXN77561,Vendor_37,Manager_5
2024-01-31,Revenue,420507.12,Utilities,Operations,336405.7,84101.42,TXN54230,Vendor_43,Manager_8
2024-01-31,Expense,14114.99,Training,Operations,14792.52,-677.54,TXN97327,Vendor_2,Manager_4
2024-01-31,Expense,67443.56,Marketing,Engineering,68027.19,-583.63,TXN38436,Vendor_18,Manager_3
2024-01-31,Revenue,121968.07,Training,Operations,97574.45,24393.61,TXN98015,Vendor_28,Manager_6
2024-01-31,Expense,3937.64,Utilities,Operations,3755.39,182.25,TXN33557,Vendor_48,Manager_6
2024-01-31,Expense,3785.37,Software/Tools,HR,3903.53,-118.16,TXN74618,Vendor_13,Manager_1
2024-01-31,Revenue,305059.93,Travel,Marketing,244047.94,61011.99,TXN69216,Vendor_37,Manager_3
2024-01-31,Expense,15327.48,Office Rent,Marketing,16840.7,-1513.22,TXN25905,Vendor_19,Manager_1
2024-01-31,Revenue,495089.75,Training,Sales,396071.8,99017.95,TXN43061,Vendor_26,Manager_3
2024-01-31,Expense,13331.69,Software/Tools,Marketing,14644.22,-1312.53,TXN62627,Vendor_6,Manager_3
2024-01-31,Investment,74125.76,Salaries,Sales,74125.76,0.0,TXN13088,Vendor_10,Manager_3
2024-01-31,Investment,47063.71,Professional Services,Operations,47063.71,0.0,TXN28481,Vendor_10,Manager_7
2024-01-31,Expense,8851.77,Software/Tools,Finance,8836.32,15.45,TXN72055,Vendor_34,Manager_2
2024-01-31,Expense,16578.11,Training,Finance,16635.58,-57.47,TXN52942,Vendor_4,Manager_3
2024-01-31,Expense,13260.81,Software/Tools,Engineering,12324.43,936.38,TXN41584,Vendor_14,Manager_8
2024-01-31,Revenue,200657.99,Office Rent,Sales,160526.39,40131.6,TXN78742,Vendor_13,Manager_9
2024-01-31,Expense,129876.99,Salaries,Marketing,118759.05,11117.94,TXN65610,Vendor_10,Manager_7
2024-01-31,Expense,11015.94,Equipment,Marketing,10151.02,864.92,TXN75245,Vendor_40,Manager_2
2024-01-31,Revenue,237676.5,Equipment,Finance,190141.2,47535.3,TXN58906,Vendor_12,Manager_8
2024-01-31,Expense,13375.46,Professional Services,Engineering,14635.14,-1259.68,TXN92121,Vendor_29,Manager_9
2024-01-31,Expense,2954.85,Professional Services,Engineering,3141.69,-186.84,TXN69222,Vendor_25,Manager_2
2024-01-31,Expense,6053.47,Miscellaneous,HR,5973.53,79.94,TXN33161,Vendor_41,Manager_2
2024-03-01,Expense,14146.26,Professional Services,Finance,13112.99,1033.26,TXN78622,Vendor_36,Manager_3
2024-03-01,Expense,2097.8,Professional Services,Engineering,1917.51,180.29,TXN11229,Vendor_18,Manager_4
2024-03-01,Revenue,488414.64,Salaries,HR,390731.71,97682.93,TXN82853,Vendor_1,Manager_3
2024-03-01,Expense,12131.76,Utilities,Finance,12360.97,-229.2,TXN69823,Vendor_17,Manager_7
2024-03-01,Investment,24836.56,Marketing,Operations,24836.56,0.0,TXN96352,Vendor_44,Manager_7
2024-03-01,Expense,12826.43,Software/Tools,Finance,11676.88,1149.55,TXN84060,Vendor_20,Manager_2
2024-03-01,Revenue,264546.73,Marketing,Engineering,211637.39,52909.35,TXN23277,Vendor_15,Manager_7
2024-03-01,Expense,16390.1,Professional Services,Operations,17248.69,-858.59,TXN63433,Vendor_5,Manager_2
2024-03-01,Expense,8013.58,Utilities,Engineering,8011.84,1.74,TXN23764,Vendor_40,Manager_4
2024-03-01,Expense,7298.61,Travel,Marketing,7992.18,-693.58,TXN57210,Vendor_17,Manager_3
2024-03-01,Expense,10966.26,Software/Tools,Sales,11283.63,-317.37,TXN12063,Vendor_42,Manager_9
2024-03-01,Expense,13178.89,Utilities,Operations,11866.49,1312.4,TXN79285,Vendor_38,Manager_9
2024-03-01,Expense,11011.39,Software/Tools,Operations,11104.8,-93.4,TXN97157,Vendor_22,Manager_8
2024-03-01,Investment,44480.43,Training,Finance,44480.43,0.0,TXN55306,Vendor_37,Manager_3
2024-03-01,Expense,21009.43,Office Rent,Marketing,19195.81,1813.61,TXN86981,Vendor_26,Manager_8
2024-03-01,Revenue,145898.79,Marketing,Engineering,116719.03,29179.76,TXN22920,Vendor_33,Manager_9
2024-03-01,Expense,8036.61,Equipment,Finance,7825.94,210.67,TXN80779,Vendor_22,Manager_6
2024-03-01,Expense,21164.47,Office Rent,Finance,20393.0,771.47,TXN90420,Vendor_32,Manager_8
2024-03-01,Expense,13447.22,Travel,Marketing,14374.26,-927.04,TXN42225,Vendor_38,Manager_8
2024-03-01,Expense,142165.51,Salaries,Finance,130677.35,11488.15,TXN75137,Vendor_45,Manager_9
2024-03-01,Expense,2663.88,Software/Tools,HR,2661.38,2.5,TXN77680,Vendor_7,Manager_1
2024-03-01,Expense,14250.29,Utilities,HR,13794.3,455.98,TXN36451,Vendor_14,Manager_6
2024-03-01,Expense,104874.88,Salaries,Operations,101687.78,3187.1,TXN31817,Vendor_41,Manager_8
2024-03-01,Revenue,115272.79,Utilities,Marketing,92218.23,23054.56,TXN41155,Vendor_30,Manager_5
2024-03-01,Revenue,244056.65,Software/Tools,Marketing,195245.32,48811.33,TXN28006,Vendor_19,Manager_3
2024-03-01,Revenue,196547.6,Equipment,Finance,157238.08,39309.52,TXN47220,Vendor_35,Manager_1
2024-03-01,Revenue,214454.37,Miscellaneous,Engineering,171563.5,42890.87,TXN76326,Vendor_44,Manager_1
2024-03-01,Revenue,484250.09,Marketing,Marketing,387400.08,96850.02,TXN95099,Vendor_44,Manager_5
2024-03-01,Expense,76552.47,Marketing,Engineering,74509.12,2043.35,TXN36403,Vendor_37,Manager_9
2024-03-01,Revenue,421199.12,Salaries,HR,336959.29,84239.82,TXN28464,Vendor_8,Manager_7
2024-03-01,Expense,19115.57,Utilities,HR,17823.19,1292.37,TXN76689,Vendor_13,Manager_6
2024-03-01,Investment,74074.19,Professional Services,Marketing,74074.19,0.0,TXN17536,Vendor_32,Manager_9
2024-03-01,Expense,16049.6,Training,HR,16139.71,-90.11,TXN86323,Vendor_23,Manager_9
2024-03-01,Expense,13414.57,Utilities,Engineering,13396.08,18.49,TXN79345,Vendor_33,Manager_2
2024-03-01,Expense,6448.05,Software/Tools,Operations,6418.21,29.84,TXN43095,Vendor_44,Manager_7
2024-03-01,Expense,16694.9,Software/Tools,Finance,15639.43,1055.46,TXN51193,Vendor_13,Manager_9
2024-03-01,Expense,2089.16,Travel,Marketing,2180.45,-91.29,TXN60382,Vendor_20,Manager_4
2024-03-01,Investment,72561.79,Professional Services,HR,72561.79,0.0,TXN83490,Vendor_32,Manager_6
2024-03-31,Expense,183065.31,Salaries,Sales,175780.26,7285.04,TXN95573,Vendor_6,Manager_2
2024-03-31,Investment,49736.47,Salaries,HR,49736.47,0.0,TXN28148,Vendor_31,Manager_3
2024-03-31,Investment,53970.67,Salaries,HR,53970.67,0.0,TXN17053,Vendor_39,Manager_3
2024-03-31,Expense,7049.13,Miscellaneous,Operations,7061.67,-12.54,TXN70108,Vendor_44,Manager_3
2024-03-31,Revenue,197040.05,Travel,Marketing,157632.04,39408.01,TXN19876,Vendor_28,Manager_9
2024-03-31,Revenue,196002.79,Marketing,Operations,156802.24,39200.56,TXN74441,Vendor_23,Manager_3
2024-03-31,Revenue,233423.69,Training,HR,186738.95,46684.74,TXN35048,Vendor_6,Manager_2
2024-03-31,Expense,16638.38,Equipment,HR,16220.98,417.4,TXN21452,Vendor_28,Manager_5
2024-03-31,Investment,94437.9,Utilities,Finance,94437.9,0.0,TXN32953,Vendor_27,Manager_7
2024-03-31,Expense,3684.94,Travel,Marketing,3544.16,140.78,TXN48627,Vendor_2,Manager_8
2024-03-31,Expense,28713.93,Office Rent,Marketing,26011.18,2702.75,TXN14453,Vendor_45,Manager_6
2024-03-31,Expense,2701.54,Miscellaneous,Sales,2556.9,144.64,TXN80514,Vendor_14,Manager_8
2024-03-31,Expense,14318.86,Utilities,HR,13881.96,436.9,TXN82082,Vendor_43,Manager_5
2024-03-31,Revenue,374829.24,Salaries,Operations,299863.39,74965.85,TXN37228,Vendor_25,Manager_1
2024-03-31,Expense,21026.91,Marketing,Marketing,21166.62,-139.71,TXN59314,Vendor_36,Manager_7
2024-03-31,Revenue,136572.43,Training,Marketing,109257.95,27314.49,TXN20541,Vendor_29,Manager_5
2024-03-31,Investment,99821.42,Miscellaneous,Marketing,99821.42,0.0,TXN22199,Vendor_41,Manager_8
2024-03-31,Expense,16861.24,Office Rent,Operations,17902.02,-1040.78,TXN17636,Vendor_5,Manager_3
2024-03-31,Expense,10803.7,Utilities,Finance,10818.31,-14.61,TXN40398,Vendor_12,Manager_9
2024-03-31,Expense,14018.39,Equipment,Marketing,14874.96,-856.57,TXN18190,Vendor_21,Manager_8
2024-03-31,Expense,45098.22,Marketing,HR,46207.71,-1109.48,TXN86706,Vendor_4,Manager_3
2024-03-31,Expense,14857.11,Miscellaneous,HR,14074.75,782.36,TXN33350,Vendor_19,Manager_3
2024-03-31,Revenue,194897.25,Marketing,Engineering,155917.8,38979.45,TXN49218,Vendor_35,Manager_5
2024-03-31,Expense,6594.04,Travel,Engineering,6025.27,568.77,TXN10334,Vendor_47,Manager_1
2024-03-31,Investment,84182.92,Office Rent,Sales,84182.92,0.0,TXN79433,Vendor_23,Manager_6
2024-03-31,Revenue,413156.14,Equipment,Engineering,330524.91,82631.23,TXN90880,Vendor_11,Manager_2
2024-03-31,Expense,9028.69,Equipment,Marketing,8290.09,738.6,TXN68475,Vendor_35,Manager_5
2024-03-31,Expense,8521.79,Professional Services,Operations,8006.1,515.69,TXN60873,Vendor_33,Manager_7
2024-04-30,Revenue,123038.53,Marketing,Operations,98430.82,24607.71,TXN30830,Vendor_5,Manager_2
2024-04-30,Revenue,266412.95,Training,Operations,213130.36,53282.59,TXN42425,Vendor_35,Manager_9
2024-04-30,Expense,12529.35,Training,Sales,12922.64,-393.29,TXN98604,Vendor_22,Manager_7
2024-04-30,Expense,4805.1,Training,Marketing,4636.04,169.06,TXN96498,Vendor_24,Manager_1
2024-04-30,Expense,4648.67,Miscellaneous,Finance,4213.71,434.96,TXN79440,Vendor_44,Manager_6
2024-04-30,Revenue,379811.43,Utilities,Engineering,303849.15,75962.29,TXN71936,Vendor_45,Manager_9
2024-04-30,Expense,18805.14,Office Rent,Sales,17839.89,965.25,TXN36065,Vendor_21,Manager_7
2024-04-30,Revenue,85112.9,Salaries,HR,68090.32,17022.58,TXN63796,Vendor_14,Manager_8
2024-04-30,Expense,6228.59,Equipment,HR,6599.56,-370.96,TXN51184,Vendor_39,Manager_3
2024-04-30,Expense,13477.36,Travel,Finance,13402.27,75.09,TXN10310,Vendor_9,Manager_5
2024-04-30,Revenue,482194.21,Salaries,Operations,385755.37,96438.84,TXN99937,Vendor_38,Manager_1
2024-04-30,Expense,12891.72,Software/Tools,Finance,13495.43,-603.71,TXN76112,Vendor_25,Manager_6
2024-04-30,Expense,9253.5,Training,Finance,8717.17,536.33,TXN87558,Vendor_25,Manager_5
2024-04-30,Expense,13839.03,Software/Tools,HR,13049.23,789.81,TXN92481,Vendor_26,Manager_8
2024-04-30,Expense,113026.39,Salaries,Sales,120266.28,-7239.89,TXN46549,Vendor_36,Manager_2
2024-04-30,Revenue,82766.96,Miscellaneous,Marketing,66213.57,16553.39,TXN19866,Vendor_8,Manager_9
2024-04-30,Expense,111613.21,Salaries,Finance,114143.93,-2530.72,TXN68719,Vendor_15,Manager_5
2024-04-30,Expense,19288.82,Equipment,HR,17955.97,1332.85,TXN32114,Vendor_25,Manager_2
2024-04-30,Revenue,103487.52,Training,Finance,82790.02,20697.5,TXN54031,Vendor_2,Manager_4
2024-04-30,Investment,61331.93,Office Rent,Sales,61331.93,0.0,TXN85705,Vendor_7,Manager_3
2024-04-30,Expense,165089.31,Salaries,HR,167996.27,-2906.96,TXN20589,Vendor_4,Manager_2
2024-04-30,Expense,22827.91,Marketing,HR,24071.01,-1243.1,TXN98096,Vendor_3,Manager_4
2024-04-30,Expense,7124.4,Utilities,Finance,7438.54,-314.14,TXN81447,Vendor_28,Manager_9
2024-04-30,Expense,8528.23,Travel,Operations,7901.96,626.27,TXN40898,Vendor_1,Manager_5
2024-04-30,Expense,5897.72,Software/Tools,HR,5499.61,398.11,TXN77487,Vendor_3,Manager_4
2024-04-30,Expense,17302.58,Training,Finance,16230.6,1071.98,TXN93330,Vendor_35,Manager_2
2024-04-30,Expense,4704.23,Utilities,Marketing,4715.73,-11.5,TXN62621,Vendor_2,Manager_6
2024-04-30,Expense,14083.33,Marketing,HR,13108.04,975.29,TXN47236,Vendor_43,Manager_1
2024-04-30,Expense,16311.86,Professional Services,Marketing,14784.81,1527.05,TXN82838,Vendor_13,Manager_7
2024-04-30,Expense,14632.07,Miscellaneous,Marketing,14680.66,-48.59,TXN51226,Vendor_16,Manager_5
2024-04-30,Expense,15910.74,Miscellaneous,Sales,16386.44,-475.7,TXN24530,Vendor_31,Manager_7
2024-04-30,Expense,12863.14,Training,Sales,11746.18,1116.96,TXN61496,Vendor_11,Manager_3
2024-04-30,Expense,19609.39,Equipment,Operations,18081.2,1528.19,TXN24412,Vendor_38,Manager_3
2024-04-30,Revenue,140004.77,Equipment,Sales,112003.81,28000.95,TXN93775,Vendor_16,Manager_4
2024-04-30,Investment,65523.66,Salaries,HR,65523.66,0.0,TXN82939,Vendor_11,Manager_9
2024-04-30,Expense,12804.64,Equipment,Operations,11643.37,1161.28,TXN96525,Vendor_39,Manager_1
2024-04-30,Revenue,298469.22,Miscellaneous,Finance,238775.38,59693.84,TXN66997,Vendor_46,Manager_3
2024-04-30,Expense,12350.64,Training,Sales,11766.31,584.33,TXN47448,Vendor_19,Manager_8
2024-04-30,Expense,16604.06,Software/Tools,Finance,15598.85,1005.22,TXN64994,Vendor_6,Manager_5
2024-05-30,Expense,9173.12,Professional Services,HR,8289.92,883.2,TXN10382,Vendor_37,Manager_2
2024-05-30,Expense,11111.54,Miscellaneous,Sales,10148.19,963.35,TXN57883,Vendor_23,Manager_4
2024-05-30,Revenue,90747.36,Training,Sales,72597.89,18149.47,TXN81341,Vendor_16,Manager_2
2024-05-30,Expense,8599.9,Travel,Marketing,8965.83,-365.93,TXN18505,Vendor_19,Manager_2
2024-05-30,Expense,5614.43,Professional Services,Sales,5239.68,374.75,TXN63273,Vendor_1,Manager_1
2024-05-30,Expense,29027.87,Office Rent,Marketing,28080.95,946.91,TXN44936,Vendor_37,Manager_5
2024-05-30,Investment,13507.31,Travel,Engineering,13507.31,0.0,TXN84432,Vendor_49,Manager_4
2024-05-30,Revenue,248574.23,Salaries,Marketing,198859.39,49714.85,TXN62984,Vendor_25,Manager_9
2024-05-30,Expense,9722.2,Software/Tools,Sales,10625.42,-903.22,TXN32594,Vendor_25,Manager_7
2024-05-30,Expense,19887.37,Professional Services,Engineering,18091.59,1795.78,TXN60014,Vendor_4,Manager_4
2024-05-30,Revenue,103440.01,Professional Services,HR,82752.01,20688.0,TXN95161,Vendor_8,Manager_2
2024-05-30,Expense,24725.17,Office Rent,HR,25723.91,-998.74,TXN39114,Vendor_28,Manager_8
2024-05-30,Expense,19651.33,Travel,Marketing,20582.41,-931.09,TXN14675,Vendor_43,Manager_6
2024-05-30,Expense,11501.22,Professional Services,Marketing,12362.52,-861.3,TXN99692,Vendor_21,Manager_9
2024-05-30,Expense,23255.51,Marketing,Sales,23649.83,-394.32,TXN49855,Vendor_13,Manager_3
2024-05-30,Expense,4114.43,Equipment,Finance,4253.33,-138.9,TXN43179,Vendor_22,Manager_4
2024-05-30,Expense,17513.44,Office Rent,Sales,16441.73,1071.72,TXN21697,Vendor_5,Manager_6
2024-05-30,Investment,17722.27,Utilities,Sales,17722.27,0.0,TXN11149,Vendor_9,Manager_7
2024-05-30,Expense,75434.09,Marketing,HR,74085.07,1349.02,TXN70309,Vendor_36,Manager_2
2024-05-30,Expense,18633.02,Professional Services,Sales,17421.41,1211.61,TXN96467,Vendor_42,Manager_4
2024-05-30,Expense,2608.35,Miscellaneous,Sales,2843.22,-234.87,TXN20623,Vendor_1,Manager_2
2024-05-30,Investment,44084.53,Equipment,Marketing,44084.53,0.0,TXN63452,Vendor_45,Manager_2
2024-05-30,Expense,4050.52,Miscellaneous,Finance,3799.4,251.13,TXN79020,Vendor_30,Manager_2
2024-05-30,Expense,4116.2,Equipment,Operations,4479.11,-362.91,TXN92839,Vendor_11,Manager_1
2024-05-30,Expense,18094.28,Training,Marketing,16822.49,1271.79,TXN97081,Vendor_39,Manager_2
